model,RMSE,MAE
NB T2m lagged 5,747.6556670536128,742.1413011625797
NB T2m lagged 6,724.1244884527222,723.0892794956021
NB T2m lagged 7,729.3314485640507,726.679008653152
NB T2m lagged 8,738.0563652895289,732.5313884533007
NB T2m lagged 9,737.9783636104992,732.0377795059088
NB T2m lagged 10,723.1446545739933,720.3836887928725
NB T2m lagged 11,705.7012567175832,702.97433163995845
NB T2m lagged 12,710.271910827856,708.0632906889807
NB T2m lagged 13,707.4593974440949,699.7533533320563
NB T2m lagged 14,719.5307942024656,718.1577235366373
NB T2m lagged 15,728.5665865364991,723.5289717758768
NB T2m lagged 16,741.1378754642487,736.7183401006329
NB T2m lagged 17,782.9030564543519,780.21805050085
NB T2m lagged 18,797.355672488811,793.3764569019402
NB T2m lagged 19,801.827694109407,795.428263514882
NB T2m lagged 20,785.4000896198916,781.8420815831852
NB T2m lagged 21,776.8526990535793,775.0974546860984
NB T2m lagged 22,779.9330624847071,777.56643252936
NB T2m lagged 23,788.3366152962676,781.9528824379057
NB T2m lagged 24,784.5455721773376,780.0967418805649
NB T2m lagged 25,783.545447539616,782.0595101589961
NB T2m lagged 26,775.0848790989436,772.244625598018
NB T2m lagged 27,789.0952447261291,785.6437318861507
NB T2m lagged 28,786.8259839573434,781.269524074792
NB T2m lagged 29,770.4554744738977,767.0001698807089
NB T2m lagged 30,753.2534477889371,750.4268002627894
NB T2m lagged 31,729.8610190958724,725.6972876703474
NB T2m lagged 32,729.3495060624214,727.1619144931582
NB T2m lagged 33,711.4289723265902,705.3219832908732
NB T2m lagged 34,679.8449753966802,672.8689795364205
NB T2m lagged 35,660.1143782307316,657.1093772386778
NB T2m lagged 36,632.1536518910269,628.3438593994427
NB T2m lagged 37,600.6602968156483,589.1622212998983
NB T2m lagged 38,577.6292191729246,572.4839911428921
NB T2m lagged 39,546.1190925160697,540.80764290755906
NB T2m lagged 40,551.3669525082715,549.1159674106814
NB T2m lagged 41,603.7004296777253,597.6799998090046
NB T2m lagged 42,634.360340603342,624.605404573264
NB T2m lagged 43,663.1814914792664,659.5120276228154
NB T2m lagged 44,653.035228452265,647.9555863050247
NB T2m lagged 45,647.2343480422014,645.7628810401028
NB T2m lagged 46,655.8828531077913,652.4802969050882
