model,RMSE,CRPS
MEAN,496.4602807624104,481.1269960962189
Seasonal mean,563.8766941155053,NA
Seasonal mean weighted,509.3625190441787,NA
Seasonal mean exponentially weighted,362.8017608531506,NA
NAIVE,141.18557611766698,99.18804398465103
SNAIVE,402.2950505441344,NA
Drift,141.38622433682377,99.43200186896857
